Size	Weight
618	2470
711	3185
700	2790
707	3485
776	5190
909	7870
552	1825
782	4710
700	3860
724	3415
745	4020
770	4985
515	1240
781	4385
713	2610
578	1530
640	2080
553	1745
555	1710
494	1170
777	5270
795	5235
563	1845
586	1750
688	2190
705	3810
799	5375
746	2665
701	3575
835	5450
622	2385
680	3650
566	1940
700	3580
1003	10705
446	560
582	1605
444	710
481	980
625	2325
740	4100
780	5535
442	785
494	1290
745	3855
535	1515
625	2660
596	2205
627	2780
629	2300
573	1590
626	2090
578	2060
710	2900
786	4430
874	6470
836	6055
659	2390
751	4580
745	4190
718	3925
535	1565
604	2275
660	2985
732	3215
525	1160
527	1375
581	2015
553	1565
559	1280
522	1015
690	3750
745	4170
630	2780
672	3310
583	1975
605	2395
555	1260
710	3035
758	3905
714	3055
652	3125
725	4290
646	3125
724	4335
855	5050
594	2350
779	4910
775	4835
729	3935
540	1175
584	1855
542	1490
590	1675
546	1545
520	1660
675	3910
630	2540
718	4385
580	2220
720	3410
529	1380
690	2420
573	2310
396	655
720	3920
657	3460
744	4585
731	4220
625	2750
730	4240
