Day	DayOfWeek	TypeOfDay	Steps
1-Oct	7	Weekend	10596
2-Oct	1	Weekend	6271
3-Oct	2	Weekday	7781
4-Oct	3	Weekday	8158
5-Oct	4	Weekday	5531
6-Oct	5	Weekday	6610
7-Oct	6	Weekday	7811
8-Oct	7	Weekend	2181
9-Oct	1	Weekend	5260
10-Oct	2	Weekday	6776
11-Oct	3	Weekday	5121
12-Oct	4	Weekday	8916
13-Oct	5	Weekday	12120
14-Oct	6	Weekday	8495
15-Oct	7	Weekend	13149
16-Oct	1	Weekend	1803
17-Oct	2	Weekday	4290
18-Oct	3	Weekday	750
19-Oct	4	Weekday	3280
20-Oct	5	Weekday	6145
21-Oct	6	Weekday	12617
22-Oct	7	Weekend	4006
23-Oct	1	Weekend	1733
24-Oct	2	Weekday	6445
25-Oct	3	Weekday	7032
26-Oct	4	Weekday	4375
27-Oct	5	Weekday	8098
28-Oct	6	Weekday	12892
29-Oct	7	Weekend	16770
30-Oct	1	Weekend	3295
31-Oct	2	Weekday	7214
