"tree_id"	"species"	"dbh"	"height"
"1"	"47-M-10"	"CY"	3.9	1.5
"2"	"62-M-11"	"CY"	3.1	2.7
"3"	"49-M-9"	"CY"	3.7	13.7
"4"	"47-M-4"	"CY"	3	4.5
"5"	"52-N-7"	"CY"	4.9	5.2
"6"	"62-M-3"	"CY"	6	11.8
"7"	"3-W-6"	"CY"	3.8	11.4
"8"	"23-M-4"	"CY"	6.3	1.5
"9"	"3-W-4"	"CY"	7.4	7.4
"10"	"72-M-6"	"CY"	9.8	10.7
"11"	"40-M-6"	"CY"	11.6	14.3
"12"	"23-M-7"	"CY"	11.6	10.2
"13"	"11-M-3"	"CY"	18.6	15.4
"14"	"11-E-3"	"CY"	15.2	13.8
"15"	"66-N-4"	"CY"	17.4	8.8
"16"	"62-S-2"	"CY"	11.6	17.4
"17"	"36-M-8"	"CY"	16.8	17.9
"18"	"63-M-7"	"CY"	16.5	5
"19"	"79-M-5"	"CY"	14.7	18
"20"	"80-E-8"	"CY"	20.4	13.5
"21"	"40-M-2"	"CY"	21.2	8.2
"22"	"3-M-5"	"CY"	21.5	14.5
"23"	"40-S-5"	"CY"	21.9	8.5
"24"	"32-M-4"	"CY"	21.3	11.8
"25"	"33-M-2"	"CY"	23.7	11.4
"26"	"11-M-7"	"CY"	26.2	11.4
"27"	"59-M-3"	"CY"	19.9	21.6
"28"	"32-M-3"	"CY"	34.4	17.7
"29"	"36-N-2"	"CY"	27.3	14.8
"30"	"15-M-2"	"CY"	23.4	26.1
"31"	"56-M-4"	"CY"	18.9	22.4
"32"	"75-M-4"	"CY"	27	19.1
"33"	"46-M-7"	"CY"	34.5	25.3
"34"	"82-M-5"	"CY"	26.2	23
"35"	"73-N-4"	"CY"	25	21.8
"36"	"64-W-4"	"CY"	35	23.9
"37"	"7-M-4"	"CY"	31.9	23.8
"38"	"3-M-4"	"CY"	33.8	20.2
"39"	"25-S-8"	"CY"	31.4	18.8
"40"	"54-M-7"	"CY"	29.9	20.4
"41"	"80-M-3"	"CY"	30.4	18.5
"42"	"75-S-7"	"CY"	31.3	21.2
"43"	"65-M-9"	"CY"	31	16.7
"44"	"76-M-6"	"CY"	36.9	29.9
"45"	"8-M-3"	"CY"	38.2	27.1
"46"	"57-M-4"	"CY"	36.7	19.8
"47"	"82-M-4"	"CY"	38.8	20.1
"48"	"54-M-3"	"CY"	39.9	21.7
"49"	"82-M-6"	"CY"	45.2	25.3
"50"	"7-S-2"	"CY"	44.7	23.6
"51"	"75-N-6"	"CY"	40.7	25.1
"52"	"58-M-7"	"CY"	45.7	24.7
"53"	"80-M-2"	"CY"	44.6	24.2
"54"	"50-N-3"	"CY"	43.9	31.9
"55"	"24-W-4"	"CY"	43.9	22.8
"56"	"37-S-3"	"CY"	41.8	30.7
"57"	"69-E-4"	"CY"	47.7	17.8
"58"	"15-M-7"	"CY"	50.3	29.8
"59"	"53-E-3"	"CY"	45.6	27
"60"	"42-M-3"	"CY"	45	26.9
"61"	"81-M-3"	"CY"	45.4	26.1
"62"	"49-N-5"	"CY"	50.3	22.8
"63"	"65-M-6"	"CY"	47.7	24.6
"64"	"7-N-7"	"CY"	49.6	21.9
"65"	"15-S-4"	"CY"	51.1	23.1
"66"	"50-M-8"	"CY"	46	28.5
"67"	"53-N-3"	"CY"	48.1	29.5
"68"	"31-M-3"	"CY"	46	26
"69"	"50-M-5"	"CY"	49.5	31.7
"70"	"55-M-2"	"CY"	52.9	32.5
"71"	"54-S-7"	"CY"	52	25
"72"	"50-M-3"	"CY"	50.6	17.8
"73"	"63-M-3"	"CY"	48	30
"74"	"80-M-5"	"CY"	50.6	23.8
"75"	"69-S-5"	"CY"	49.7	23.6
"76"	"31-M-8"	"CY"	53.9	31
"77"	"65-W-7"	"CY"	50.7	26.6
"78"	"49-M-7"	"CY"	52.5	21.7
"79"	"65-M-2"	"CY"	56	28.7
"80"	"65-S-9"	"CY"	54.2	27.4
"81"	"7-N-8"	"CY"	49.9	28.2
"82"	"30-M-2"	"CY"	52	31.4
"83"	"69-N-2"	"CY"	55.7	25.8
"84"	"64-M-7"	"CY"	54.3	31.4
"85"	"7-W-6"	"CY"	53.3	28.1
"86"	"49-M-5"	"CY"	60.3	29.6
"87"	"61-M-7"	"CY"	60	33
"88"	"64-M-3"	"CY"	55.6	31.4
"89"	"79-N-3"	"CY"	59	28.3
"90"	"14-N-6"	"CY"	63	34.2
"91"	"48-W-6"	"CY"	67.3	34.2
"92"	"9-S-7"	"CY"	63.1	35.8
"93"	"68-W-2"	"CY"	57.3	30.1
"94"	"15-M-4"	"CY"	65.1	29.2
"95"	"8-E-2"	"CY"	64.2	35.7
"96"	"28-M-3"	"CY"	61.2	31.5
"97"	"48-M-8"	"CY"	69.3	40.2
"98"	"64-M-6"	"CY"	65.9	37.6
"99"	"8-M-5"	"CY"	65.6	29.5
"100"	"55-M-3"	"CY"	65.7	23.9
"101"	"49-M-4"	"CY"	73.1	28
"102"	"70-M-7"	"CY"	80.6	30.9
"103"	"28-W-4"	"CY"	83.4	32.8
"104"	"45-W-6"	"CY"	85.1	35.2
"105"	"13-M-6"	"CY"	99.2	28.8
"106"	"70-S-6"	"CY"	110.8	25.9
"107"	"70-M-6"	"CY"	128.5	29.9
"108"	"29-M-11"	"HW"	2	4.8
"109"	"29-M-8"	"HW"	2.4	3.2
"110"	"62-M-4"	"HW"	3.1	3.5
"111"	"62-M-7"	"HW"	3.5	4
"112"	"43-M-5"	"HW"	3.7	4.5
"113"	"43-M-6"	"HW"	3.8	3.3
"114"	"62-M-12"	"HW"	4	3
"115"	"4-M-4"	"HW"	4.6	4
"116"	"4-M-3"	"HW"	4.9	3.8
"117"	"47-N-2"	"HW"	5.9	7.3
"118"	"43-M-8"	"HW"	7	6
"119"	"43-M-10"	"HW"	7.8	8.1
"120"	"23-M-6"	"HW"	8	5
"121"	"23-M-3"	"HW"	8.5	7
"122"	"62-N-2"	"HW"	9	7.7
"123"	"40-W-2"	"HW"	9.2	6.6
"124"	"59-M-2"	"HW"	10.5	10
"125"	"35-M-2"	"HW"	11.3	11.3
"126"	"51-N-5"	"HW"	11.4	15.5
"127"	"35-M-6"	"HW"	12.2	11
"128"	"66-E-4"	"HW"	12.6	13.3
"129"	"27-M-3"	"HW"	13.1	13
"130"	"20-E-2"	"HW"	13.3	10.4
"131"	"66-M-4"	"HW"	14.5	14
"132"	"34-M-2"	"HW"	14.8	15.9
"133"	"11-M-4"	"HW"	15.3	26
"134"	"21-M-5"	"HW"	15.9	10.2
"135"	"26-M-2"	"HW"	16.1	12.4
"136"	"3-E-5"	"HW"	17.3	26.5
"137"	"44-M-4"	"HW"	18	24
"138"	"27-M-2"	"HW"	18.4	13.6
"139"	"5-E-4"	"HW"	18.8	14.7
"140"	"41-M-2"	"HW"	19.1	17.6
"141"	"40-M-3"	"HW"	19.2	13.1
"142"	"23-M-5"	"HW"	19.4	12.4
"143"	"27-N-4"	"HW"	19.6	16.9
"144"	"54-M-2"	"HW"	20	25.2
"145"	"36-M-9"	"HW"	20.2	19
"146"	"18-E-3"	"HW"	20.9	16.5
"147"	"27-M-5"	"HW"	21.3	13.7
"148"	"35-W-3"	"HW"	22.7	13
"149"	"47-E-5"	"HW"	22.9	18.4
"150"	"23-N-4"	"HW"	23.5	13.8
"151"	"11-M-6"	"HW"	24	27
"152"	"37-M-3"	"HW"	24.9	25
"153"	"56-M-3"	"HW"	25.4	36.7
"154"	"25-M-2"	"HW"	25.7	18
"155"	"44-E-4"	"HW"	25.9	28
"156"	"11-M-9"	"HW"	26.2	30
"157"	"46-M-2"	"HW"	26.7	28
"158"	"76-M-2"	"HW"	26.7	31.2
"159"	"48-M-3"	"HW"	27.3	22
"160"	"11-M-5"	"HW"	27.8	26
"161"	"3-M-7"	"HW"	28.7	26
"162"	"13-M-4"	"HW"	29	28
"163"	"69-M-3"	"HW"	29.1	24
"164"	"73-S-2"	"HW"	29.4	17.8
"165"	"50-M-6"	"HW"	29.7	19.6
"166"	"46-M-3"	"HW"	30.3	26.5
"167"	"81-N-2"	"HW"	30.4	22
"168"	"59-E-2"	"HW"	30.7	21.7
"169"	"16-M-2"	"HW"	30.9	32
"170"	"16-M-6"	"HW"	31.2	29.8
"171"	"77-M-2"	"HW"	31.2	22
"172"	"55-E-2"	"HW"	31.7	25.1
"173"	"14-M-6"	"HW"	31.9	27
"174"	"63-E-4"	"HW"	32.2	24.6
"175"	"48-S-6"	"HW"	32.6	23.9
"176"	"25-M-5"	"HW"	32.9	31.7
"177"	"37-M-9"	"HW"	33.2	30.7
"178"	"3-S-5"	"HW"	33.3	40.7
"179"	"64-M-4"	"HW"	34	22.5
"180"	"8-W-6"	"HW"	34.6	32.2
"181"	"77-M-4"	"HW"	34.6	23.7
"182"	"50-E-3"	"HW"	34.8	28.3
"183"	"22-M-8"	"HW"	35	30.4
"184"	"51-W-3"	"HW"	35.3	26.9
"185"	"38-W-5"	"HW"	35.4	26.1
"186"	"38-M-7"	"HW"	35.5	28.7
"187"	"3-N-6"	"HW"	36	24
"188"	"14-M-5"	"HW"	36.3	29
"189"	"65-N-8"	"HW"	36.3	25.7
"190"	"3-N-7"	"HW"	36.7	26
"191"	"14-W-3"	"HW"	36.8	31.5
"192"	"50-W-7"	"HW"	37	28.7
